source,author,title,description,url,urlToImage,publishedAt,content,topic
"{'id': None, 'name': 'New York Post'}",Christian Arnold,Knicks made push for Alex Caruso before Bulls traded him to Thunder,"The Knicks seemed to have a better deal on the table for Alex Caruso, but instead, the Bulls went for the one-for-one deal with Oklahoma City.",https://nypost.com/2024/06/25/sports/knicks-made-push-for-alex-caruso-before-bulls-traded-him-to-thunder/,https://nypost.com/wp-content/uploads/sites/2/2024/06/chicago-bulls-guard-alex-caruso-79362476-e1719358121976.jpg?quality=75&strip=all&w=1024,2024-06-25T23:58:35Z,"The Knicks seemed to have a better deal on the table for Alex Caruso, but instead, the Bulls went for the one-for-one deal with Oklahoma City.
A league source told NBC Sports Chicago that the Knicks… [+1650 chars]",sports
"{'id': None, 'name': 'The Punch'}",Our Reporters,3SC: Gov. Makinde prioritises CAF ticket next season,"The Executive Governor of Oyo State, Engineer Seyi Makinde, says a CAF club competition slot will be the major focus for Shooting Stars Sports Club in the 2024/2025 Nigeria Premier Football League season, PUNCH Sports Extra reports. According to Tuesday’s rel…",https://punchng.com/3sc-gov-makinde-prioritises-caf-ticket-next-season/,https://cdn.punchng.com/wp-content/uploads/2024/02/25003546/Seyi-Makinde.png,2024-06-25T23:57:59Z,"The Executive Governor of Oyo State, Engineer Seyi Makinde, says a CAF club competition slot will be the major focus for Shooting Stars Sports Club in the 2024/2025 Nigeria Premier Football League se… [+1494 chars]",sports
"{'id': 'fox-sports', 'name': 'Fox Sports'}",,Josh Giddey embraces fresh start with Bulls after trade from Thunder,Josh Giddey is looking forward to a fresh start with the Chicago Bulls. Giddey spoke with the press for the first time with Bulls.,https://www.foxsports.com/stories/nba/josh-giddey-embraces-fresh-start-with-bulls-after-trade-from-thunder,https://a57.foxsports.com/statics.foxsports.com/www.foxsports.com/content/uploads/2024/06/1408/814/josh-giddey-16x9-1.jpg?ve=1&tl=1,2024-06-25T23:56:38Z,"Josh Giddey is looking forward to a fresh start with the Chicago Bulls.
The 6-foot-8 guard from Australia confirmed Tuesday he did not want to come off the bench for Oklahoma City and insisted he ap… [+4007 chars]",sports
"{'id': 'marca', 'name': 'Marca'}",marca.com,Stephen A. Smith claims Dan Hurley's wife is to blame for Lakers snub,"Stephen A. Smith has thrown a curveball that&apos;s sure to keep tongues wagging for days. Appearing on First Take this Tuesday, Smith suggested that the Lakers&apos; failed attemp",https://www.marca.com/en/basketball/nba/los-angeles-lakers/2024/06/26/667b581c22601d5b4b8b456f.html,https://phantom-marca.unidadeditorial.es/665206ef8b4c9592ae34aef2b4115a3c/resize/1200/f/webp/assets/multimedia/imagenes/2024/06/26/17193593160431.jpg,2024-06-25T23:52:29Z,"Stephen A. Smith has thrown a curveball that's sure to keep tongues wagging for days. Appearing on First Take this Tuesday, Smith suggested that the Lakers' failed attempt to land UConn's Dan Hurley … [+3396 chars]",sports
"{'id': 'bleacher-report', 'name': 'Bleacher Report'}",zach bachar,"Trae Young Trade Rumors: Lakers, Spurs, Pelicans Are 'Appealing' to Hawks Star","Atlanta Hawks star Trae Young has several teams that he would be interested in if a trade occurs. According to Yahoo Sports' Jake Fischer, the Los Angeles…",https://bleacherreport.com/articles/10126065-trae-young-trade-rumors-lakers-spurs-pelicans-are-appealing-to-hawks-star,"https://media.bleacherreport.com/image/upload/c_fill,g_faces,w_3800,h_2000,q_95/v1719358916/eb8tu7qikxzpizsfhwua.jpg",2024-06-25T23:50:28Z,"Kevin C. Cox/Getty Images
Atlanta Hawks star Trae Young has several teams that he would be interested in if a trade occurs.
According to Yahoo Sports' Jake Fischer, the Los Angeles Lakers, New Orle… [+519 chars]",sports
"{'id': None, 'name': 'The Denver Post'}",Pat Rooney,Monster season set former CU Buffs guard KJ Simpson on path to NBA draft,"A year ago, KJ Simpson had a chip on his shoulder the size of one of the Flatirons.",https://www.denverpost.com/2024/06/25/monster-season-set-former-cu-buffs-guard-kj-simpson-on-path-to-nba-draft/,https://www.denverpost.com/wp-content/uploads/2024/06/BUF-L-CUMStan494.jpg?w=1024&h=767,2024-06-25T23:48:18Z,"A year ago, KJ Simpson had a chip on his shoulder the size of one of the Flatirons.
Last summer, coming off a sophomore season that began promisingly but ended in a slump spurred by injury and illne… [+4392 chars]",sports
"{'id': None, 'name': 'Investing.com'}",Investing.com,"LifeWallet Announces It Will Hold Its 2024 Annual Meeting of Stockholders at 10am ET on June 26, 2024","LifeWallet Announces It Will Hold Its 2024 Annual Meeting of Stockholders at 10am ET on June 26, 2024",https://www.investing.com/news/press-releases/lifewallet-announces-it-will-hold-its-2024-annual-meeting-of-stockholders-at-10am-et-on-june-26-2024-93CH-3496725,https://i-invdn-com.investing.com/news/World_News_9_800x533_L_1420026261.jpg,2024-06-25T23:48:04Z,"CORAL GABLES, Fla., June 25, 2024 (GLOBE NEWSWIRE) -- MSP Recovery, Inc. d/b/a LifeWallet (NASDAQ: LIFW) (""LifeWallet,"" or the ""Company""), a Medicare, Medicaid, commercial, and Secondary Payer reimbu… [+2840 chars]",sports
"{'id': None, 'name': 'The Japan Times'}",Adam PLOWRIGHT,"At Paris Olympics, women athletes finally reach parity","When the event was revived by French aristocrat Pierre de Coubertin, he saw it as a celebration of gentlemanly athleticism ""with female applause as its reward.""",https://www.japantimes.co.jp/olympics/2024/06/26/women-olympic-parity/,https://www.japantimes.co.jp/japantimes/uploads/images/2024/06/26/405557.jpg,2024-06-25T23:48:00Z,"Paris Once seen as a ""celebration of manly virtue"" without female athletes, the modern Olympics will reach gender parity for the first time during this year's Paris Games, 128 years since its first e… [+402 chars]",sports
"{'id': None, 'name': 'Yahoo Entertainment'}",Yahoo Sports Videos,Is Dan Quinn ready to take command in D.C.? | The Exempt List,Yahoo Sports NFL writer Charles McDonald is joined by Diante Lee of The Athletic to discuss Washington’s outlook under its new head coach and whether the defense is set up to succeed. Hear the full conversation on “The Exempt List with Charles McDonald” - par…,https://sports.yahoo.com/dan-quinn-ready-command-d-234512974.html,https://s.yimg.com/ny/api/res/1.2/nQqKLhIHvm5al49U.xnUlw--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD02NzU-/https://s.yimg.com/os/creatr-uploaded-images/2024-06/9a61da90-334c-11ef-bf7a-60012d308f39,2024-06-25T23:45:12Z,Yahoo Sports NFL writer Charles McDonald is joined by Diante Lee of The Athletic to discuss Washingtons outlook under its new head coach and whether the defense is set up to succeed. Hear the full co… [+2626 chars],sports
"{'id': None, 'name': 'Detroit Free Press'}",Detroit Free Press,Michigan State football adds three-star CB Aydan West from Maryland for 2025,"New Michigan State football commit Aydan West, out of Gaithersburg, Maryland, is rated as the No. 91 cornerback nationally.",https://www.freep.com/story/sports/college/michigan-state/spartans/2024/06/25/aydan-west-3-star-cb-from-maryland-picks-michigan-state-football/74212472007/,https://s.yimg.com/ny/api/res/1.2/P_Mg3LbsCxeF1BbT6l_KoA--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD03OTk-/https://media.zenfs.com/en/detroit_free_press_usa_today_sports_articles_655/16e3a7548f672e2cff656aab8d598367,2024-06-25T23:44:56Z,"The tide of three-star prospects continues to flow to East Lansing, as new Michigan State football coach Jonathan Smith picked up his 11th commit all of whom are three-stars on Tuesday evening.
Mary… [+1048 chars]",sports
"{'id': None, 'name': 'Livejournal.com'}",beysactingcoach,"If You Ain't First, You're Last! -- Ralph Lauren Reveals Team USA's Olympic Collection ","Closing Ceremony Outfits https://instagram.com/p/C8XbWnVAJH8 Once again, Ralph Lauren debuts a quizzical set for Team USA -- part forgettable prep school kid, part 80s satin varsity jackets, part NASCAR. Okay...based on the comparisons to NASCAR driver kits..…",https://ohnotheydidnt.livejournal.com/128682993.html,https://l-stat.livejournal.net/img/sign.png,2024-06-25T23:43:07Z,"Closing Ceremony Outfitshttps://instagram.com/p/C8XbWnVAJH8
Once again, Ralph Lauren debuts a quizzical set for Team USA -- part forgettable prep school kid, part 80s satin varsity jackets, part NAS… [+1132 chars]",sports
"{'id': None, 'name': 'New York Post'}",Dan Martin,"Starling Marte placed on IL, out for month with bone bruise in Mets injury blow",Starling Marte won’t be back with the Mets for a while.,https://nypost.com/2024/06/25/sports/mets-starling-marte-on-il-out-for-month-with-bone-bruise-injury/,https://nypost.com/wp-content/uploads/sites/2/2024/06/newspress-collage-kl3u5yib7-1719357142537.jpg?quality=75&strip=all&1719342779&w=1024,2024-06-25T23:41:52Z,"Starling Marte wont be back with the Mets for a while.
The outfielder was diagnosed with a deep bone bruise in his right knee and placed on the 10-day injured list on Tuesday, and manager Carlos Men… [+2562 chars]",sports
"{'id': 'bleacher-report', 'name': 'Bleacher Report'}",zach bachar,"NBA Draft 2024 Rumors: Latest Trade Buzz Surrounding Heat, Cavaliers Picks",The Miami Heat and the Cleveland Cavaliers have been involved in separate trade talks regarding their respective picks in the 2024 NBA draft. According to…,https://bleacherreport.com/articles/10126063-nba-draft-2024-rumors-latest-trade-buzz-surrounding-heat-cavaliers-picks,"https://media.bleacherreport.com/image/upload/c_fill,g_faces,w_3800,h_2000,q_95/v1719358382/krfrs3detkvodalwbnvf.jpg",2024-06-25T23:40:51Z,"Megan Briggs/Getty Images
The Miami Heat and the Cleveland Cavaliers have been involved in separate trade talks regarding their respective picks in the 2024 NBA draft.
According to Jake Fischer of … [+642 chars]",sports
"{'id': None, 'name': 'BroBible'}",Jacob Elsey,Texas Cements ‘Big Bro’ Status By Swiping Aggies BsB Coach Hours After Emphatic Statement On Loyalty,Texas has officially cemented its status as Texas A&M’s “big brother” after reportedly swiping the Aggies‘ head baseball coach from College Station. The news comes less than 24 hours after TAMU’s season ended in the College World Series Final. It also made Ji…,https://brobible.com/sports/article/jim-schlossnagle-texas/,https://brobible.com/wp-content/uploads/2024/06/Jim-Schlossnagle-2.jpg,2024-06-25T23:40:16Z,"Getty Image
Texas has officially cemented its status as Texas A&amp;Ms big brother after reportedly swiping the Aggies head baseball coach from College Station. The news comes less than 24 hours aft… [+3070 chars]",sports
"{'id': None, 'name': 'Entertainment Tonight'}",Meredith B. Kile,Céline Dion's New Doc Shows Heartbreaking Footage of Singer Experiencing a 10-Minute Seizure,'I Am: Celine Dion' shows how life has changed for the 56-year-old singer since her diagnosis with Stiff Person Syndrome.,https://www.etonline.com/celine-dions-new-doc-shows-heartbreaking-footage-of-singer-experiencing-a-10-minute-seizure-228006,https://www.etonline.com/sites/default/files/styles/1280x720/public/images/2024-06/celinediontoday.png?h=a72deae6,2024-06-25T23:38:17Z,"Céline Dion is showing all the toughest moments in her battle with Stiff Person Syndrome (SPS).
In her new documentary, I Am: Celine Dion, the GRAMMY winner is seen during moments of immense pain, a… [+3447 chars]",sports
"{'id': 'fox-news', 'name': 'Fox News'}",Ryan Morik,Vladimir Guerrero Jr rescinds claim he'd never play for Yankees with trade deadline 1 month away,"Vladimir Guerrero Jr. has said he would never sign with the Yankees, but with his Blue Jays struggling and the trade deadline looming, he may have had a change of heart.",https://www.foxnews.com/sports/vladimir-guerrero-jr-rescinds-claim-hed-never-play-yankees-trade-deadline-one-month-away,https://static.foxnews.com/foxnews.com/content/uploads/2024/06/vlad-jr-hr.jpg,2024-06-25T23:36:34Z,"Nearly a year and a half ago, Toronto Blue Jays star Vladimir Guerrero Jr. said he would never sign for one of his team's arch rivals.
The son of the Hall of Famer said he would never strike a deal … [+2400 chars]",sports
"{'id': None, 'name': 'GlobeNewswire'}",LifeWallet,"LifeWallet Announces It Will Hold Its 2024 Annual Meeting of Stockholders at 10am ET on June 26, 2024","LifeWallet Announces It Will Hold its 2024 Annual Meeting of Stockholders on June 26, 2024......",https://www.globenewswire.com/news-release/2024/06/25/2904191/0/en/LifeWallet-Announces-It-Will-Hold-Its-2024-Annual-Meeting-of-Stockholders-at-10am-ET-on-June-26-2024.html,https://ml.globenewswire.com/Resource/Download/2f5d83c0-000a-4595-836c-a845a14cf88d,2024-06-25T23:35:00Z,"CORAL GABLES, Fla., June 25, 2024 (GLOBE NEWSWIRE) -- MSP Recovery, Inc. d/b/a LifeWallet (NASDAQ: LIFW) (""LifeWallet,"" or the ""Company""), a Medicare, Medicaid, commercial, and Secondary Payer reimbu… [+2817 chars]",sports
"{'id': 'fox-news', 'name': 'Fox News'}",Chantz Martin,Australian swimmer Cate Campbell addresses viral comments on Team USA after coming up short at Olympic trials,Australia's Cate Campbell sparked controversy when she bragged about defeating Team USA at last year's World Championships in a viral video.,https://www.foxnews.com/sports/australian-swimmer-cate-campbell-addresses-viral-comments-team-usa-after-coming-up-short-olympic-trials,https://static.foxnews.com/foxnews.com/content/uploads/2024/06/Swimmer-Cate-Campbell.jpg,2024-06-25T23:34:03Z,"Swimmer Cate Campbell will not make the trip to Paris next month to represent Australia in the upcoming Summer Olympics.
Campbell finished in seventh place in the 50m freestyle at Australia's Olympi… [+3059 chars]",sports
"{'id': 'usa-today', 'name': 'USA Today'}",FTW Staff,"How to Watch Copa America 2024: Chile vs Argentina Free Live Stream, Time, TV Channel, and Schedule",Chile will face Lionel Messi and Argentina during Copa America 2024 on Tuesday evening at MetLife Stadium. Argentina can secure their spot in the knockout stage with a strong showing against Chile.…,https://ftw.usatoday.com/2024/06/how-to-watch-copa-america-2024-chile-vs-argentina-free-live-stream-time-tv-channel-and-schedule,https://ftw.usatoday.com/wp-content/uploads/sites/90/2024/06/USATSI_23512432.jpg?w=1024&h=576&crop=1,2024-06-25T23:30:50Z,"Chile will face Lionel Messi and Argentina during Copa America 2024 on Tuesday evening at MetLife Stadium.
Argentina can secure their spot in the knockout stage with a strong showing against Chile. … [+2082 chars]",sports
"{'id': 'fox-sports', 'name': 'Fox Sports'}",,Cups thrown at England manager Gareth Southgate after 0-0 draw with Slovenia,England fans threw plastic beer cups in the direction of Gareth Southgate after a 0-0 draw with Slovenia at Euro 2024.,https://www.foxsports.com/stories/soccer/cups-thrown-at-england-manager-gareth-southgate-after-00-draw-with-slovenia,https://a57.foxsports.com/statics.foxsports.com/www.foxsports.com/content/uploads/2024/06/1408/814/gsouth.jpg?ve=1&tl=1,2024-06-25T23:29:20Z,"England fans threw plastic beer cups in the direction of Gareth Southgate after a 0-0 draw with Slovenia at Euro 2024 on Tuesday.
The England manager and his players went to applaud fans after the f… [+1379 chars]",sports
"{'id': None, 'name': 'TMZ'}",TMZ Staff,Lakers Coach JJ Redick Denies N-Word Use Allegation,"Los Angeles Lakers head coach JJ Redick is vehemently denying he called a woman the N-word while a member of the Duke men's basketball team ... saying the interaction simply never happened. Halleemah Nash -- an author, speaker, and Duke alum --…",https://www.tmz.com/2024/06/25/los-angeles-lakers-coach-jj-redick-denies-n-word-use-allegation/,https://imagez.tmz.com/image/76/16by9/2024/06/25/760f40f921684666996a4be33b12e32d_xl.jpg,2024-06-25T23:29:19Z,"Los Angeles Lakers head coach JJ Redick is vehemently denying he called a woman the N-word while a member of the Duke men's basketball team ... saying the interaction simply never happened.
Halleema… [+930 chars]",sports
"{'id': 'bleacher-report', 'name': 'Bleacher Report'}",Julia Stumbaugh,Jaguars' $1.4B EverBank Stadium Renovations Approved; New Rendering Photos Revealed,"The Jacksonville Jaguars and the city of Jacksonville, Florida, on Tuesday reached an agreement approving a $1.4 billion stadium renovation deal. The Jaguars…",https://bleacherreport.com/articles/10126061-jaguars-14b-everbank-stadium-renovations-approved-new-rendering-photos-revealed,"https://media.bleacherreport.com/image/upload/c_fill,g_faces,w_3800,h_2000,q_95/v1719357711/izydgkhv45mjgqdubi7w.jpg",2024-06-25T23:28:57Z,"Nic Antaya/Getty Images
The Jacksonville Jaguars and the city of Jacksonville, Florida, on Tuesday reached an agreement approving a $1.4 billion stadium renovation deal.
The Jaguars announced the n… [+958 chars]",sports
